iso3,country,name,position,start_year,end_year,status,source_scraped,source_dataset,dataset_url
ARG,Argentina,Roque Benjamin Fernandez,President / Governor,1991,1996,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Pedro Pou,President / Governor,1996,2001,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Roque Maccarone,President / Governor,2001,2002,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Mario Blejer,President / Governor,2002,2002,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Aldo Ruben Pignanelli,President / Governor,2002,2002,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Alfonso Prat Gay,President / Governor,2002,2004,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Martin Redrado,President / Governor,2004,2010,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Mercedes Marco del Pont,President / Governor,2010,2013,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Juan Carlos Fabrega,President / Governor,2013,2014,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Alejandro Vanoli,President / Governor,2014,2015,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Federico Adolfo Sturzenegger,President / Governor,2015,2018,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Luis Andres Caputo,President / Governor,2018,2018,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
ARG,Argentina,Guido Sandleris,President / Governor,2018,2019,Histórico,http://www.bcra.gob.ar/Institucional/Presidentes_Anteriores_i.asp,KOF ETH Zurich – cbg_turnover_v23,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html
