country;central_bank_name;name;position;start_year;end_year;source_dataset;source_method;source_page;source_detail
Australia;Reserve Bank of Australia;Robert Alan (Bob) Johnston;President / Governor;1982;1989;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Australia;Reserve Bank of Australia;Bernard William (Bernie) Fraser;President / Governor;1989;1996;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Australia;Reserve Bank of Australia;Ian John Macfarlane;President / Governor;1996;2006;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Australia;Reserve Bank of Australia;Glenn Robert Stevens;President / Governor;2006;2016;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Australia;Reserve Bank of Australia;Philip William Lowe;President / Governor;2016;En cargo;kof;kof_workbook_governors_v2023;https://www.rba.gov.au;AUS
Austria;European Central Bank ( Oesterreichische Nationalbank );Wolfgang Schmitz;President / Governor;1968;1973;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Hans Kloss;President / Governor;1973;1978;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Stefan Koren;President / Governor;1978;1988;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Hellmuth Klauhs;President / Governor;1988;1990;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Herbert Koller;President / Governor;1988;1988;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Heinz Kienzl;President / Governor;1990;1990;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Maria Schaumayer;President / Governor;1990;1995;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
Austria;European Central Bank ( Oesterreichische Nationalbank );Klaus Liebscher;President / Governor;1995;2008;kof;kof_workbook_governors_v2023;https://www.oenb.at;AUT
