PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Didier Matray;Didier Matray;BEL;didier;matray;BEL;;;;;0;0;;;;;;;;
Jan Smets;Jan Smets;BEL;jan;smets;BEL;;;;;2;0;;;;;;;;
Rudi Thomaes;Rudi Thomaes;BEL;rudi;thomaes;BEL;;;;;0;0;1952;8;1;;;;;
Eddy Varmoesen;Eddy Varmoesen;BEL;eddy;varmoesen;BEL;;;;;0;0;;;;;;;;
Marcia de Wachter;Marcia Wachter;BEL;marcia;wachter;BEL;;;;;0;1;;;;;;;;
Guy Haaze;Guy Haaze;BEL;guy;haaze;BEL;;;;;0;0;;;;;;;;
Rudy De Leeuw;Rudy Leeuw;BEL;rudy;leeuw;BEL;;;;;0;0;;;;;;;;
Carl Devlies;Carl Devlies;BEL;carl;devlies;BEL;;;;;0;0;1953;1;;;;;Netherlands;Amsterdam
Jan Vercamst;Jan Vercamst;BEL;jan;vercamst;BEL;;;;;0;0;;;;;;;;
Christl Joris;Christl Joris;BEL;christl;joris;BEL;;;;;0;1;;;;;;;;
Yves Prete;Yves Prete;BEL;yves;prete;BEL;;;;;0;0;;;;;;;;
Jean Louis Six;Jean Six;BEL;jean;six;BEL;;;;;0;0;1533;;1;;;;France;Lille
Jean Francois Cats;Jean Cats;BEL;jean;cats;BEL;;;;;0;0;;;;;;;;
Eric Mathay;Eric Mathay;BEL;eric;mathay;BEL;;;;;0;0;;;;;;;;
Michèle Detaille;Michele Detaille;BEL;michele;detaille;BEL;;;;;0;1;;;;;;;;
Claire Tillekaerts;Claire Tillekaerts;BEL;claire;tillekaerts;BEL;;;;;0;1;;;;;;;;
Hans Dhondt;Hans Dhondt;BEL;hans;dhondt;BEL;;;;;0;0;;;;;;;;
Jean Eylenbosch;Jean Eylenbosch;BEL;jean;eylenbosch;BEL;;;;;0;0;;;;;;;;
Tom Dechaene;Tom Dechaene;BEL;tom;dechaene;BEL;;;;;0;0;;;;;;;;
Mario Coppens;Mario Coppens;BEL;mario;coppens;BEL;;;;;0;0;;;;;;;;
Thierry Bodson;Thierry Bodson;BEL;thierry;bodson;BEL;;;;;0;0;;;;;;;;
Christine Mahy;Christine Mahy;BEL;christine;mahy;BEL;;;;;0;1;;;;;;;;
Marc Leemans;Marc Leemans;BEL;marc;leemans;BEL;;;;;0;0;;;;;;;;
Mia Schamphelaere;Mia Schamphelaere;BEL;mia;schamphelaere;BEL;;;;;0;1;;;;;;;;
Tom Dechaene;Tom Dechaene;BEL;tom;dechaene;BEL;;;;;1;0;;;;;;;;
Christian Van Thillo;Christian Thillo;BEL;christian;thillo;BEL;;;;;0;0;;;;;;;;
Fabienne Bister;Fabienne Bister;BEL;fabienne;bister;BEL;;;;;0;1;;;;;;;;
Veronique Thirion;Veronique Thirion;BEL;veronique;thirion;BEL;;;;;0;1;;;;;;;;
Jo Swyngedouw;Jo Swyngedouw;BEL;jo;swyngedouw;BEL;;;;;0;0;;;;;;;;
Pieter Timmermans;Pieter Timmermans;BEL;pieter;timmermans;BEL;;;;;0;0;1964;6;1;;;;Belgium;Ninove
Steven Vanackere;Steven Vanackere;BEL;steven;vanackere;BEL;2010;6;2011;;1;0;1964;2;2;Catholic University of Leuven;;;Belgium;Wevelgem
Steven Vanackere;Steven Vanackere;BEL;steven;vanackere;BEL;2010;6;2011;;1;0;1964;2;2;Catholic University of Leuven;;;Belgium;Wevelgem
