iso3,name
BRA,Maria Celina Berardinelli Arraes
BRA,Mauricio Moura
BRA,Mário Gomes Torós
BRA,Mário Magalhães Carvalho Mesquita
BRA,Meirelles
BRA,Neto
BRA,Otavio Damaso
BRA,Pastore
BRA,Paulo Hortêncio Pereira Lima
BRA,Paulo Picchetti
BRA,Paulo Sérgio Cavalheiro
BRA,Paulo Vieira da Cunha
BRA,Persio Arida
BRA,Reinaldo Le Grazie
BRA,Renato Dias de Brito Gomes
BRA,Renato Goncalves
BRA,Roberto Neto
BRA,Rodrigo Alves Teixeira
BRA,Rodrigo Telles da Rocha Azevedo
BRA,Rui Aguiar da Silva Leme
BRA,Sergio Werlang
BRA,Sidnei Corrêa Marques
BRA,Sidnei Marqsue
BRA,Sérgio Darcy da Silva Alves
BRA,Tereza Cristina Grossi Togni
BRA,Tiago Couto Berriel
BRA,Tony Volpon
BRA,Wadico Waldir Bucch
BRB,Carlos Holder
BRB,Cleviston Haynes
BRB,Darcy Boyce
BRB,DeLisle Worrell
BRB,Dr Greenidge
BRB,Dr Kurgleigh King
BRB,Dr. Courtney Blackman
BRB,Elson Gaskin
BRB,Kevin Greenidge
BRB,Marion Williams
BRB,Mr. Calvin Springer
BRB,Mr. Winston Cox
BRN,Abdul Ibrahim
BRN,Dayang Naimah binti Md.Ali
BRN,Dr. Haji Abdul Manaf bin Haji Metussin
BRN,Haji Ahmaddin bin Haji Abdul Rahman
BRN,Haji Hisham bin Haji Mohd Hanifah
BRN,Haji Mohd Roselan bin Haij Mohd Daud
BRN,Khairuddin bin Haji Abdul Hamid
BRN,Mohammad Yasmin bin Haji Umar
BRN,Mohd Rosli bin Haji Sabtu
BRN,Prince Billah
BRN,Rashidah binti Haji Sabtu
BTN,Ashi Sonam Choden Wangchuck
BTN,Dasho Bap Kesang
BTN,Dasho Penjore
BTN,Dasho Yangchen Tshogyel
BTN,Daw Tenzin
BTN,H. E. Lyonpo Yeshey Zimba
BTN,H.E. Daw Tezin
BTN,Lyonpo Kinzang Dorji
BTN,Lyonpo Wangdi Norbu
BTN,Sonam Wangchuk
BUR,Jean-Baptiste Compaoré
BWA,B. Moeletsi
BWA,Brenton C. Leavitt
BWA,C. S. Botlhole-Mmopi
BWA,Charles Kikonyogo
BWA,Charles Nyonyintono Kikonyogo
BWA,Cornelius Dekop
BWA,Festus Mogae
BWA,G Cunliffe
BWA,Gaolathe
BWA,Hermans
BWA,J. Sentsho
BWA,K.R. Jefferis
BWA,Keith Jefferis
BWA,Linah K Mohohlo
BWA,Linah Mohohlo
BWA,Malebogo Bakwena
BWA,Mogae
BWA,Moses Dinekere Pelaelo
BWA,N Fidzani
BWA,Quill Hermans
BWA,R. G. M Mmutle
BWA,R.N. Matthews
BWA,T. Seretse
BWA,U. Corea
BWA,Victoria Lekoma
CAF,Abbas Mahamat Tolli
CAF,Ali Chaibou
CAF,Allamine Bourma Treye
CAF,Emmanuel Rocher
CAF,Georges Gautier
CAF,Gervais-Magloire Doungoupou
CAF,Jean-Félix Mamalepot
CAF,Lucas Abaga Nchama
CAF,Michael Mukete
CAF,Pascal Fourcaut
CAF,Philibert Andzembe
CAF,Rigobert Roger Andely
CAF,Tahir Hamid Nguilin
CAF,Yvon Sana Bangui
CAN,Agathe Coté
CAN,Bernard Bonin
CAN,Bill Morneau
CAN,Bonnie DuPont
CAN,Carol Hansell
CAN,Carolyn Rogers
CAN,Charles Freedman
CAN,Chrystia Freeland
CAN,Colin Dodds
CAN,Daniel Johnson
CAN,David A. Dodge
CAN,David Laidley
CAN,David Longworth
CAN,Gerald Bouey
CAN,Gilles Loiselle
CAN,Gordon Thiessen
CAN,Graeme Thompson
CAN,Graham Towers
CAN,James Coyne
CAN,Jean Boivin
CAN,Jean Simon
CAN,Jim Flaherty
CAN,Jock Finlayson
CAN,John Crow
CAN,John Horsley Palmer
CAN,John Manley
CAN,Lawrence Schembri
CAN,Louis Rasminsky
CAN,Lynn Patterson
CAN,Malcolm Knight
CAN,Malcom Knight
CAN,Mark J. Carney
CAN,Monique Jeromeforget
CAN,Monique Mercier
CAN,Nicholas Pan
CAN,Nicolas Vincent
CAN,Norman Betts
CAN,Paul Beaudry
CAN,Paul Haggis
CAN,Paul Jenkins
CAN,Paul Martin
CAN,Peter Dhillon
CAN,Phillip Deck
CAN,Phyllis Clark
CAN,Pierre Duguay
CAN,Ralph Goodale
CAN,Richard Mcgaw
CAN,Robert M. Campbell
CAN,Sandra L. Hanington
CAN,Sharon Kozicki
CAN,Sheryl Kennedy
CAN,Stephanie Bowman
CAN,Stephen Poloz
CAN,Sylvain Leduc
CAN,Tiff Macklem
CAN,Tiff Macklen
CAN,Tim E. Noël
CAN,Timothy Lane
CAN,Wes Scott
CAN,William Black
CHE,Alexander Swoboda
CHE,Alfredo Gysi
CHE,Andrea Maechler
CHE,Angelo Ranaldo
CHE,Antoine Martin
CHE,Armin Jans
CHE,August Burckhardt
CHE,Barbara Janom
CHE,Barbara Steiner
CHE,Cedric Tille
CHE,Charles Schnyder von Wartensee
CHE,Christian Vitta
CHE,Christoph Ammann
CHE,Christoph Lengwiler
CHE,Christoph Mäder
CHE,Daniel Lampart
CHE,Dewet Moser
CHE,Dr. Edwin Stopper
CHE,Dr. Hans Meyer
CHE,Dr. Jean-Pierre Roth
CHE,Dr. Markus Lusser
CHE,Dr. Walter Schwegler
CHE,Dr. h.c. Pierre Languetin
CHE,Eduard Belser
CHE,Ernst Stocker
CHE,Ernst Weber
CHE,Eveline Widmer Schlumpf
CHE,Franz Marty
CHE,Fritz Leutwiler
CHE,Fritz Zurbrügg
CHE,George Rich
CHE,Gerold Buhrer
CHE,Gottlieb Bachmann
CHE,Hans Ulrich Raggenbass
CHE,Heinrich Kundert
CHE,Heinz Karrer
CHE,Henri Andre
CHE,Jean Studer
CHE,Jean-Pierre Danthine
CHE,Kathi Bangerter
CHE,Konrad Hummler
CHE,Kurt Hauri
CHE,Laura Sadis
CHE,Marina Masoni
CHE,Martin Kraenzlin
CHE,Martin Schlegel
CHE,Michel Peytrignet
CHE,Monika Butler
CHE,Niklaus Blattner
CHE,Olivier Steimber
CHE,Paul Keller
CHE,Paul Rossy
CHE,Peter Gerber
CHE,Petra Tschudin
CHE,Philipp Hildebrand
CHE,Philippe Pidoux
CHE,Rajna Gibson Brandon
CHE,Renaud de Planta
CHE,Rita Fuhrer
CHE,Rodolphe de Haller
CHE,Romeo Lacher
CHE,Rosmarie Schlup
CHE,Ruth Luthi
CHE,Serge Gaillard
CHE,Shelby Pasquier
CHE,Simonetta Sommaruga
CHE,Thomas Jordan
CHE,Thomas Moser
CHE,Thomas Wiedmer
CHE,Ueli Forster
CHE,Ulrich Kohli
CHE,Vania Alleva
CHE,Werner Messmer
CHE,Yvette Jaggi
CHL,* Nci
CHL,Alberto Naudon
