PName_original,PName,iso3,first,last,iso3Birth,Start_year,End_year,Start_month,End_month,Position,Sex,Birth_year,Education,BA_or_MA,MBA,PhD,CountryBirth,CityBirth,name
Machinea,* Machinea,ARG,*,machinea,ARG,,,,,President / Governor,0.0,,,,,,,,* Machinea
Fernandez,Roque Fernandez,ARG,roque,fernandez,ARG,,,,,President / Governor,0.0,,,,,,,,Roque Fernandez
Gonzalez Fraga,Javier Fraga,ARG,javier,fraga,ARG,,,,,President / Governor,0.0,,,,,,,,Javier Fraga
Gonzalez Fraga,Javier Fraga,ARG,javier,fraga,ARG,,,,,President / Governor,0.0,,,,,,,,Javier Fraga
Mario Blejer,Mario Blejer,ARG,mario,blejer,ARG,,,,,President / Governor,0.0,,,,,,,,Mario Blejer
Mario Blejer,Mario Blejer,ARG,mario,blejer,ARG,,,,,President / Governor,0.0,,,,,,,,Mario Blejer
Juan Carlos Fabrega,Juan Fabrega,ARG,juan,fabrega,ARG,,,,,President / Governor,0.0,,,,,,,,Juan Fabrega
Aldo Pignanelli,Aldo Pignanelli,ARG,aldo,pignanelli,ARG,,,,,President / Governor,0.0,,,,,,,,Aldo Pignanelli
Nestor Kirchner,Nestor Kirchner,ARG,nestor,kirchner,ARG,,,,,President / Governor,0.0,,,,,,,,Nestor Kirchner
Cristina Fernandez de Kirchner,Cristina Kirchner,ARG,cristina,kirchner,ARG,,,,,President / Governor,1.0,,,,,,,,Cristina Kirchner
Mercedes Marcó del Pont,Mercedes Pont,ARG,mercedes,pont,ARG,,,,,Board member,1.0,,,,,,,,Mercedes Pont
Alberto Fernández,Alberto Fernandez,ARG,alberto,fernandez,ARG,,,,,Vice-president / Deputy-governor,0.0,,,,,,,,Alberto Fernandez
Mauricio Macri,Mauricio Macri,ARG,mauricio,macri,ARG,,,,,President / Governor,0.0,,,,,,,,Mauricio Macri
Martin Redrado,Martin Redrado,ARG,martin,redrado,ARG,,,,,Board member,0.0,,,,,,,,Martin Redrado
Alejandro Vanoli,Alejandro Vanoli,ARG,alejandro,vanoli,ARG,,,,,President / Governor,0.0,,,,,,,,Alejandro Vanoli
Miguel Ángel Pesce,Miguel Pesce,ARG,miguel,pesce,ARG,,,,,Board member,0.0,,,,,,,,Miguel Pesce
Alfonso Prat-Gay,Alfonso Pratgay,ARG,alfonso,pratgay,ARG,,,,,President / Governor,0.0,,,,,,,,Alfonso Pratgay
Luis Caputo,Luis Caputo,ARG,luis,caputo,ARG,,,,,President / Governor,0.0,,,,,,,,Luis Caputo
