iso3,country,name,position,start_year,end_year,status
BMU,Bermuda,C. Winston Kempe,President / Governor,1969,1973,Histórico
BMU,Bermuda,Dudley Butterfield,President / Governor,1973,1979,Histórico
BMU,Bermuda,Frederick Yearwood,President / Governor,1979,1982,Histórico
BMU,Bermuda,Davis Gibbons,President / Governor,1982,1986,Histórico
BMU,Bermuda,Charles Mann,President / Governor,1986,1992,Histórico
BMU,Bermuda,Mansfield Brock,President / Governor,1993,1998,Histórico
BMU,Bermuda,Alan Richardson,President / Governor,2007,2009,Histórico
BMU,Bermuda,Alan Cossar,President / Governor,2010,2013,Histórico
BMU,Bermuda,Jeremy Cox,President / Governor,2019,2021,Histórico
BMU,Bermuda,Donald Scott,President / Governor,2021,En cargo,Actual
BTN,Bhutan,Yeshey Zimba,President / Governor,1983,1986,Histórico
BTN,Bhutan,Bap Kesang,President / Governor,1987,1991,Histórico
BTN,Bhutan,Sonam Wangchuk,President / Governor,1992,2003,Histórico
BTN,Bhutan,Daw Tenzin,President / Governor,2003,2015,Histórico
BTN,Bhutan,Dasho Penjore,President / Governor,2015,En cargo,Actual
BOL,Bolivia,Jorge Jordán Ferrufino,President / Governor,1967,1969,Histórico
BOL,Bolivia,Oscar Vega López,President / Governor,1969,1970,Histórico
BOL,Bolivia,Wenceslao Alba Quiroz,President / Governor,1970,1971,Histórico
BOL,Bolivia,Arturo Nuñez del Prado,President / Governor,1971,1971,Histórico
BOL,Bolivia,Manuel Mercado Montero,President / Governor,1971,1972,Histórico
BOL,Bolivia,Luis Bedregal Rodo,President / Governor,1972,1972,Histórico
BOL,Bolivia,José Justiniano Aguilera,President / Governor,1977,1978,Histórico
BOL,Bolivia,Miguel Fabbri Cohn,President / Governor,1978,1979,Histórico
BOL,Bolivia,Enrique García Ayaviri,President / Governor,1979,1979,Histórico
BOL,Bolivia,Marcelo Montero N. del P,President / Governor,1980,1981,Histórico
BOL,Bolivia,Guido Salinas,President / Governor,1981,1981,Histórico
BOL,Bolivia,Gonzalo Ruiz Ballivian,President / Governor,1982,1982,Histórico
BOL,Bolivia,Luis Viscarra Cruz,President / Governor,1982,1983,Histórico
BOL,Bolivia,Herbert Müller Costas,President / Governor,1983,1984,Histórico
BOL,Bolivia,Marcelo Zalles Barriga,President / Governor,1984,1984,Histórico
BOL,Bolivia,Reynaldo Cardozo Arellano,President / Governor,1984,1985,Histórico
BOL,Bolivia,Tamara Sánchez Peña,President / Governor,1985,1985,Histórico
BOL,Bolivia,René Gómez García,President / Governor,1985,1986,Histórico
BOL,Bolivia,Javier Nogales Iturri,President / Governor,1986,1988,Histórico
BOL,Bolivia,Jacques Trigo Loubiere,President / Governor,1988,1989,Histórico
