PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;Position_original;Birth_month;Wikipedia_title;Wikipedia_person_url;Wikipedia_qid;Wikipedia_match_score;Wikipedia_match_reason;Wikipedia_match_status;Wikipedia_match_reliable
Dylber Vrioni;Dylber Vrioni;ALB;dylber;vrioni;ALB;;;;;2;0;1946;;;;;Albania;Berat;President / Governor;1;Dylber Vrioni;https://en.wikipedia.org/wiki/Dylber_Vrioni;Q13038438;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Ksenofon Krisafi;Ksenofon Krisafi;ALB;ksenofon;krisafi;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Sulo Hadëri;Sulo Haderi;ALB;sulo;haderi;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Ardian Fullani;Ardian Fullani;ALB;ardian;fullani;ALB;2004;2014;10;9;2;0;1955;2;;;;Albania;Tirana;President / Governor;1;Ardian Fullani;https://en.wikipedia.org/wiki/Ardian_Fullani;Q1815088;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Shkëlqim Cani;Shklqim Cani;ALB;shklqim;cani;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Anastas Angjeli;Anastas Angjeli;ALB;anastas;angjeli;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Ilir Hoti;Ilir Hoti;ALB;ilir;hoti;ALB;;;;;2;0;1957;2;Agricultural University of Tirana;;;Albania;Durrës;President / Governor;5;Ilir Hoti;https://en.wikipedia.org/wiki/Ilir_Hoti;Q21229005;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Ermelinda Meksi;Ermelinda Meksi;ALB;ermelinda;meksi;ALB;2003;2003;6;12;0;1;1957;2;;;;Albania;Tirana;Board member;1;Ermelinda Meksi;https://en.wikipedia.org/wiki/Ermelinda_Meksi;Q30315479;44.0;exact_title|name_similarity:1.00|country_hint|role_hint;matched;1
Tonin Kola;Tonin Kola;ALB;tonin;kola;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Fatos Ibrahimi;Fatos Ibrahimi;ALB;fatos;ibrahimi;ALB;;;;;1;0;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Petraq Milo;Petraq Milo;ALB;petraq;milo;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Luljeta Minxhozi;Luljeta Minxhozi;ALB;luljeta;minxhozi;ALB;;;;;1;1;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
Drini Salko;Drini Salko;ALB;drini;salko;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Tonin Kola;Tonin Kola;ALB;tonin;kola;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Bajram Muça;Bajram Muca;ALB;bajram;muca;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Arjan Kadareja;Arjan Kadareja;ALB;arjan;kadareja;ALB;;;;;0;0;;;;;;;;Board member;;;;;;;rejected;0
Arben Malaj;Arben Malaj;ALB;arben;malaj;ALB;;;;;0;0;1961;2;"Kennedy School of Government; Kennedy School";;;Albania;Vlorë;Board member;9;Arben Malaj;https://en.wikipedia.org/wiki/Arben_Malaj;Q4784677;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint;matched;1
Kristaq Luniku  ;Kristaq Luniku;ALB;kristaq;luniku;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Benet Beci;Benet Beci;ALB;benet;beci;ALB;;;;;2;0;1965;6;;;"Agricultural University of; Tirana University of Nebraska; Kennedy School";PSR Albania;1965 (age 61) Tirana;President / Governor;1;Benet Beci;https://en.wikipedia.org/wiki/Benet_Beci;Q132184886;47.0;exact_title|name_similarity:1.00|econ_context|country_hint;matched;1
Gent Sejko;Gent Sejko;ALB;gent;sejko;ALB;;;;;2;0;;;;;;;;President / Governor;;;;;;;rejected;0
Elisabeta Gjoni;Elisabeta Gjoni;ALB;elisabeta;gjoni;ALB;;;;;1;1;;;;;;;;Vice-president / Deputy-governor;;;;;;;rejected;0
