search_name;iso3;position_original;wikipedia_title;wikipedia_person_url;wikipedia_qid;match_score;match_reason
Jorge Videla;ARG;President / Governor;Jorge Rafael Videla;https://en.wikipedia.org/wiki/Jorge_Rafael_Videla;Q75853;34.74193548387097;partial_title|name_similarity:0.77|econ_context|country_hint|role_hint
Leopoldo Galtieri;ARG;President / Governor;Leopoldo Galtieri;https://en.wikipedia.org/wiki/Leopoldo_Galtieri;Q124993;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Raul Alfonsin;ARG;President / Governor;Raúl Alfonsín;https://en.wikipedia.org/wiki/Raúl_Alfonsín;Q193062;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
* Zalduendo;ARG;President / Governor;Carlos Zalduendo;https://en.wikipedia.org/wiki/Carlos_Zalduendo;Q2960481;26.2;shared_last_name|name_similarity:0.72|econ_context|role_hint
Reynaldo Bignone;ARG;President / Governor;Reynaldo Bignone;https://en.wikipedia.org/wiki/Reynaldo_Bignone;Q298430;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Carlos Menem;ARG;President / Governor;Carlos Menem;https://en.wikipedia.org/wiki/Carlos_Menem;Q185107;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Isabel Peron;ARG;President / Governor;Isabel Perón;https://en.wikipedia.org/wiki/Isabel_Perón;Q191014;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Adolfo Diz;ARG;President / Governor;Adolfo Diz;https://en.wikipedia.org/wiki/Adolfo_Diz;Q4684219;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
* Rossi;ARG;President / Governor;Agustín Rossi;https://en.wikipedia.org/wiki/Agustín_Rossi;Q19006869;28.555555555555557;shared_last_name|name_similarity:0.56|econ_context|country_hint|role_hint
Antonio Gonzalez;ARG;President / Governor;Antonio González de Balcarce;https://en.wikipedia.org/wiki/Antonio_González_de_Balcarce;Q2698196;38.27272727272727;strong_title|name_similarity:0.73|econ_context|role_hint
Eduardo Duhalde;ARG;President / Governor;Eduardo Duhalde;https://en.wikipedia.org/wiki/Eduardo_Duhalde;Q294578;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
* Cavallo;ARG;President / Governor;Cavallo;https://en.wikipedia.org/wiki/Cavallo;Q452126;33.0;exact_title|name_similarity:1.00|econ_context|disambiguation_penalty
* Machinea;ARG;President / Governor;José Luis Machinea;https://en.wikipedia.org/wiki/José_Luis_Machinea;Q2894286;29.153846153846153;shared_last_name|name_similarity:0.62|econ_context|country_hint|role_hint
Roque Fernandez;ARG;President / Governor;Roque Fernández;https://en.wikipedia.org/wiki/Roque_Fernández;Q7366791;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
Mario Blejer;ARG;President / Governor;Mario Blejer;https://en.wikipedia.org/wiki/Mario_Blejer;Q3914720;52.0;exact_title|name_similarity:1.00|econ_context|country_hint|role_hint
