search_name;iso3;position_original;reason
Renato Goncalves;BRA;Board member;no_reliable_match
Ary Burguer;BRA;President / Governor;no_reliable_match
Luiz Candiota;BRA;President / Governor;no_reliable_match
Anthero Meirelles;BRA;Board member;no_reliable_match
Altamir Lopes;BRA;President / Governor;no_reliable_match
Kurleigh King;BRB;President / Governor;no_reliable_match
De Worrell;BRB;President / Governor;no_reliable_match
Carlos Holder;BRB;Vice-president / Deputy-governor;no_reliable_match
Darcy Boyce;BRB;Vice-president / Deputy-governor;no_reliable_match
Elson Gaskin;BRB;Vice-president / Deputy-governor;no_reliable_match
Cleviston Haynes;BRB;President / Governor;no_reliable_match
Dr Greenidge;BRB;President / Governor;no_reliable_match
Kevin Greenidge;BRB;President / Governor;no_reliable_match
Khairuddin Hamid;BRN;President / Governor;no_reliable_match
Haji Hanifah;BRN;Board member;no_reliable_match
Haji Rahman;BRN;President / Governor;no_reliable_match
Prince Billah;BRN;President / Governor;no_reliable_match
Mohd Sabtu;BRN;Board member;no_reliable_match
Dayang Md;BRN;Board member;no_reliable_match
Rashidah Sabtu;BRN;Vice-president / Deputy-governor;no_reliable_match
Lyonpo Dorji;BTN;President / Governor;no_reliable_match
Lyonpo Zimba;BTN;President / Governor;no_reliable_match
Lyonpo Zimba;BTN;President / Governor;no_reliable_match
H Tezin;BTN;President / Governor;no_reliable_match
Dasho Penjore;BTN;President / Governor;no_reliable_match
Ashi Wangchuck;BTN;President / Governor;no_reliable_match
Dasho Kesang;BTN;President / Governor;no_reliable_match
Dasho Wangchuk;BTN;President / Governor;no_reliable_match
Lyonpo Norbu;BTN;President / Governor;no_reliable_match
Lyonpo Norbu;BTN;President / Governor;no_reliable_match
Dasho Tenzin;BTN;President / Governor;no_reliable_match
Dasho Tshogyel;BTN;President / Governor;no_reliable_match
Jean Compaore;BUR;Vice-president / Deputy-governor;no_reliable_match
N Fidzani;BWA;Board member;no_reliable_match
T Seretse;BWA;Board member;no_reliable_match
