PName_original;PName;iso3;first;last;iso3Birth;Start_year;End_year;Start_month;End_month;Position;Sex;Birth_year;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth;wikipedia_url;Birth_month
Juan Carlos Ongania;Juan Ongania;ARG;juan;ongania;ARG;;;;;2;0;;;;;;;;;
Mondelli;* Mondelli;ARG;*;mondelli;ARG;;;;;2;0;;;;;;;;;
Gonzalez del Solar;Gonzalez Solar;ARG;gonzalez;solar;ARG;;;;;2;0;;;;;;;;;
Garcia Vazquez;Garcia Vazquez;ARG;garcia;vazquez;ARG;;;;;2;0;;;;;;;;;
Ricardo Gruneisen;Ricardo Gruneisen;ARG;ricardo;gruneisen;ARG;;;;;2;0;;;;;;;;;
Alejandro Lanusse;Alejandro Lanusse;ARG;alejandro;lanusse;ARG;;;;;2;0;;;;;;;;;
Roberto M. Levingston;Roberto Levingston;ARG;roberto;levingston;ARG;;;;;2;0;;;;;;;;;
Ricardo A. Cairoli;Ricardo Cairoli;ARG;ricardo;cairoli;ARG;;;;;2;0;;;;;;;;;
Ianella;* Ianella;ARG;*;ianella;ARG;;;;;2;0;;;;;;;;;
Jorge Videla;Jorge Videla;ARG;jorge;videla;ARG;;;;;2;0;;;;;;;;;
Leopoldo Galtieri;Leopoldo Galtieri;ARG;leopoldo;galtieri;ARG;;;;;2;0;;;;;;;;;
Raul Alfonsin;Raul Alfonsin;ARG;raul;alfonsin;ARG;;;;;2;0;;;;;;;;;
Zalduendo;* Zalduendo;ARG;*;zalduendo;ARG;;;;;2;0;;;;;;;;;
Reynaldo Bignone;Reynaldo Bignone;ARG;reynaldo;bignone;ARG;;;;;2;0;;;;;;;;;
Hernán n Aldabe;Hernan Aldabe;ARG;hernan;aldabe;ARG;;;;;2;0;;;;;;;;;
Carlos Menem;Carlos Menem;ARG;carlos;menem;ARG;;;;;2;0;;;;;;;;;
Isabel Peron;Isabel Peron;ARG;isabel;peron;ARG;;;;;2;0;;;;;;;;;
Diz;Adolfo Diz;ARG;adolfo;diz;ARG;;;;;2;0;;;;;;;;;
Maccarone;Roque Maccarone;ARG;roque;maccarone;ARG;;;;;2;0;;;;;;;;;
Rossi;* Rossi;ARG;*;rossi;ARG;;;;;2;0;;;;;;;;;
Gonzalez;Antonio Gonzalez;ARG;antonio;gonzalez;ARG;;;;;2;0;;;;;;;;;
Folcini;Enrique Folcini;ARG;enrique;folcini;ARG;;;;;2;0;;;;;;;;;
Fernando de la Rúa;Fernando Rua;ARG;fernando;rua;ARG;;;;;2;0;;;;;;;;;
eduardo duhalde;Eduardo Duhalde;ARG;eduardo;duhalde;ARG;;;;;2;0;;;;;;;;;
Pedro Pou;Pedro Pou;ARG;pedro;pou;ARG;;;;;2;0;;;;;;;;;
Pedro Pou;Pedro Pou;ARG;pedro;pou;ARG;;;;;2;0;;;;;;;;;
Cavallo;* Cavallo;ARG;*;cavallo;ARG;;;;;2;0;;;;;;;;;
Machinea;* Machinea;ARG;*;machinea;ARG;;;;;2;0;;;;;;;;;
Fernandez;Roque Fernandez;ARG;roque;fernandez;ARG;;;;;2;0;;;;;;;;;
Gonzalez Fraga;Javier Fraga;ARG;javier;fraga;ARG;;;;;2;0;;;;;;;;;
Gonzalez Fraga;Javier Fraga;ARG;javier;fraga;ARG;;;;;2;0;;;;;;;;;
Mario Blejer;Mario Blejer;ARG;mario;blejer;ARG;;;;;2;0;;;;;;;;;
Mario Blejer;Mario Blejer;ARG;mario;blejer;ARG;;;;;2;0;;;;;;;;;
